Stkcd,Trddt,Clsprc,Dretwd,ToverOs
2230,2022/6/1,36.48,0.0033,0.734309
2230,2022/6/2,36.92,0.012061,0.867698
2230,2022/6/6,38.77,0.050108,1.621534
2230,2022/6/7,38.12,-0.016766,1.058751
2230,2022/6/8,38.68,0.01469,1.313188
2230,2022/6/9,37.5,-0.030507,1.033797
2230,2022/6/10,37.89,0.0104,0.798521
2230,2022/6/13,37.9,0.002903,0.6549
2230,2022/6/14,37.96,0.001583,0.806606
2230,2022/6/15,38.35,0.010274,1.107744
2230,2022/6/16,38.56,0.005476,0.924032
2230,2022/6/17,38.63,0.001815,0.938934
2230,2022/6/20,42.49,0.099922,2.313616
2230,2022/6/21,42.76,0.006354,2.36591
2230,2022/6/22,41.19,-0.036717,1.52269
2230,2022/6/23,41.39,0.004856,1.470486
2230,2022/6/24,41.75,0.008698,1.233249
2230,2022/6/27,41.93,0.004311,1.075951
2230,2022/6/28,43.14,0.028858,1.487058
2230,2022/6/29,41.6,-0.035698,1.139206
2230,2022/6/30,41.22,-0.009135,0.997713
2230,2022/7/1,41.16,-0.001456,0.710884
2230,2022/7/4,42.33,0.028426,1.151261
2230,2022/7/5,43.97,0.038743,1.780567
2230,2022/7/6,43.76,-0.004776,1.088108
2230,2022/7/7,43.04,-0.016453,0.768193
2230,2022/7/8,42.6,-0.010223,0.629345
2230,2022/7/11,41.2,-0.032864,0.720544
2230,2022/7/12,40.54,-0.016019,0.81194
2230,2022/7/13,40.62,0.001973,0.432495
2230,2022/7/14,40.49,-0.0032,0.448006
2230,2022/7/15,39.68,-0.020005,0.647394
2230,2022/7/18,41.21,0.038558,0.946328
2230,2022/7/19,41.57,0.008736,0.677862
2230,2022/7/20,42.25,0.016358,1.016037
2230,2022/7/21,41.74,-0.012071,0.60341
2230,2022/7/22,41.22,-0.012458,0.511257
2230,2022/7/25,41.28,0.001456,0.456477
2230,2022/7/26,42.02,0.017926,0.492383
2230,2022/7/27,42.88,0.020466,0.900119
2230,2022/7/28,43.12,0.005597,0.703711
2230,2022/7/29,42.04,-0.025046,0.589976
2230,2022/8/1,42.54,0.011893,0.58459
2230,2022/8/2,40.55,-0.04678,0.92242
2230,2022/8/3,40.71,0.003946,0.741263
2230,2022/8/4,41.05,0.008352,0.493364
2230,2022/8/5,42.2,0.028015,0.825524
2230,2022/8/8,41.94,-0.006161,0.485704
2230,2022/8/9,41.66,-0.006676,0.483879
2230,2022/8/10,40.7,-0.023044,0.692254
2230,2022/8/11,41.24,0.013268,0.532131
2230,2022/8/12,41.21,-0.000727,0.721669
2230,2022/8/15,40.42,-0.01917,0.791199
2230,2022/8/16,39.84,-0.014349,1.014133
2230,2022/8/17,40.26,0.010542,0.801902
2230,2022/8/18,39.44,-0.020368,0.636893
2230,2022/8/19,38.94,-0.012677,0.636074
2230,2022/8/22,39.1,0.004109,0.418381
2230,2022/8/23,39.46,0.009207,0.72056
2230,2022/8/24,37.7,-0.044602,1.170465
2230,2022/8/25,37.43,-0.007162,0.652175
2230,2022/8/26,37.21,-0.005878,0.47673
2230,2022/8/29,36.91,-0.008062,0.520488
