date,ticker,market,industry,close,log_ret,volume,turnover,marketcap,beta,ret,ret_market,stock_ret,China,Software,event_day,actual_event_date,expected_ret,abnormal_ret,event
2022-09-13,2230,China,Software,37.07,,,0.426181,,,-0.002153,0.0042238227249835,-0.002153,1,1,-120,2023-03-15,0.006698367872675167,-0.008851367872675167,GPT4
2022-09-14,2230,China,Software,36.58,,,0.440198,,,-0.013218,-0.0111922272701104,-0.013218,1,1,-119,2023-03-15,-0.007427692726117119,-0.005790307273882881,GPT4
2022-09-15,2230,China,Software,35.86,,,0.555836,,,-0.019683,-0.009450822016788,-0.019683,1,1,-118,2023-03-15,-0.005832005365002174,-0.013850994634997825,GPT4
2022-09-16,2230,China,Software,35.45,,,0.510253,,,-0.011433,-0.0237293418161428,-0.011433,1,1,-117,2023-03-15,-0.01891572240087916,0.007482722400879159,GPT4
2022-09-19,2230,China,Software,34.8,,,0.437246,,,-0.018336,-0.0011914996582425,-0.018336,1,1,-116,2023-03-15,0.0017361906501186962,-0.0200721906501187,GPT4
2022-09-20,2230,China,Software,34.98,,,0.282773,,,0.005172,0.0012304036390274,0.005172,1,1,-115,2023-03-15,0.003955433111873638,0.001216566888126362,GPT4
2022-09-21,2230,China,Software,35.09,,,0.412437,,,0.003145,-0.0074270069826516,0.003145,1,1,-114,2023-03-15,-0.0039775398033274345,0.007122539803327435,GPT4
2022-09-22,2230,China,Software,34.39,,,0.41013,,,-0.019949,-0.0088488035191141,-0.019949,1,1,-113,2023-03-15,-0.005280362772869829,-0.014668637227130172,GPT4
2022-09-23,2230,China,Software,33.73,,,0.613272,,,-0.019192,-0.0034491608379202,-0.019192,1,1,-112,2023-03-15,-0.00033255320098567447,-0.018859446799014325,GPT4
2022-09-26,2230,China,Software,33.4,,,0.41668,,,-0.009784,-0.005029195419341,-0.009784,1,1,-111,2023-03-15,-0.0017803731193461346,-0.008003626880653866,GPT4
2022-09-27,2230,China,Software,34.16,,,0.417059,,,0.022754,0.0143923305847815,0.022754,1,1,-110,2023-03-15,0.016015991925043667,0.006738008074956333,GPT4
2022-09-28,2230,China,Software,33.74,,,0.32416,,,-0.012295,-0.0164710261206409,-0.012295,1,1,-109,2023-03-15,-0.012264770477886223,-3.0229522113777232e-05,GPT4
