date,ticker,market,industry,close,log_ret,volume,turnover,marketcap,beta,ret,ret_market,stock_ret,China,Software
2022-06-01,2371,China,Semi,272.46,,,1.307334,,,0.009111,-0.0020406884647345,0.009111,1,0
2022-06-02,2371,China,Semi,288.71,,,2.124408,,,0.059642,0.0015639791288521,0.059642,1,0
2022-06-06,2371,China,Semi,291.5,,,1.645783,,,0.009664,0.0185374048908827,0.009664,1,0
2022-06-07,2371,China,Semi,278.18,,,1.480556,,,-0.045695,0.0031261057230517,-0.045695,1,0
2022-06-08,2371,China,Semi,279.7,,,1.289143,,,0.005464,0.0096877256743065,0.005464,1,0
2022-06-09,2371,China,Semi,267.35,,,1.515516,,,-0.044154,-0.0105145554112521,-0.044154,1,0
2022-06-10,2371,China,Semi,272.01,,,1.859254,,,0.01743,0.0150499550600663,0.01743,1,0
2022-06-13,2371,China,Semi,265.04,,,1.46632,,,-0.025624,-0.0117796702050138,-0.025624,1,0
2022-06-14,2371,China,Semi,250.1,,,3.06167,,,-0.056369,0.0078363017485885,-0.056369,1,0
2022-06-15,2371,China,Semi,255.5,,,2.104558,,,0.021591,0.0131539592687451,0.021591,1,0
2022-06-16,2371,China,Semi,261.6,,,1.654917,,,0.023875,-0.0066032319791515,0.023875,1,0
2022-06-17,2371,China,Semi,256.61,,,2.020543,,,-0.019075,0.0137827339929577,-0.019075,1,0
2022-06-20,2371,China,Semi,262.5,,,1.881495,,,0.022953,0.0049514672472746,0.022953,1,0
2022-06-21,2371,China,Semi,266.05,,,1.94557,,,0.013524,-0.0011245381412117,0.013524,1,0
2022-06-22,2371,China,Semi,254.3,,,2.206777,,,-0.044165,-0.0127832806362517,-0.044165,1,0
2022-06-23,2371,China,Semi,264.8,,,1.968205,,,0.04129,0.0170077792854342,0.04129,1,0
2022-06-24,2371,China,Semi,268.4,,,1.6901,,,0.013595,0.0116481551356669,0.013595,1,0
2022-06-27,2371,China,Semi,272.4,,,1.688572,,,0.014903,0.0111986232951451,0.014903,1,0
2022-06-28,2371,China,Semi,279.66,,,2.345469,,,0.026652,0.0103535639381454,0.026652,1,0
2022-06-29,2371,China,Semi,273.04,,,2.60187,,,-0.023672,-0.0155211773464163,-0.023672,1,0
2022-06-30,2371,China,Semi,277.12,,,1.266555,,,0.014943,0.014294285582352,0.014943,1,0
2022-07-01,2371,China,Semi,282.08,,,1.474159,,,0.017898,-0.0040870373675651,0.017898,1,0
2022-07-04,2371,China,Semi,266.11,,,2.698288,,,-0.056615,0.0065408744069623,-0.056615,1,0
2022-07-05,2371,China,Semi,274.6,,,2.187305,,,0.031904,-0.0014449840298568,0.031904,1,0
2022-07-06,2371,China,Semi,294.0,,,3.971704,,,0.070648,-0.0147123181335847,0.070648,1,0
2022-07-07,2371,China,Semi,299.3,,,2.808305,,,0.018027,0.0043990199323337,0.018027,1,0
2022-07-08,2371,China,Semi,305.0,,,2.108007,,,0.019044,-0.0033121260450849,0.019044,1,0
2022-07-11,2371,China,Semi,299.54,,,1.507303,,,-0.017902,-0.0168877153446425,-0.017902,1,0
2022-07-12,2371,China,Semi,280.99,,,2.998109,,,-0.061928,-0.0094596664104028,-0.061928,1,0
2022-07-13,2371,China,Semi,281.0,,,1.407531,,,3.5e-05,0.0018167757930535,3.5e-05,1,0
2022-07-14,2371,China,Semi,277.51,,,1.431876,,,-0.01242,0.0001416087122266,-0.01242,1,0
2022-07-15,2371,China,Semi,280.8,,,1.398558,,,0.011855,-0.0171630450155872,0.011855,1,0
2022-07-18,2371,China,Semi,271.15,,,2.708488,,,-0.034366,0.0103170139080201,-0.034366,1,0
2022-07-19,2371,China,Semi,264.42,,,1.653777,,,-0.02482,-0.0054300999843354,-0.02482,1,0
2022-07-20,2371,China,Semi,266.15,,,1.425318,,,0.006543,0.0033819179183337,0.006543,1,0
2022-07-21,2371,China,Semi,280.57,,,2.940918,,,0.05418,-0.0112080466596254,0.05418,1,0
2022-07-22,2371,China,Semi,273.4,,,1.56043,,,-0.025555,0.0005135532379165,-0.025555,1,0
2022-07-25,2371,China,Semi,272.0,,,1.122588,,,-0.005121,-0.0060561939752745,-0.005121,1,0
2022-07-26,2371,China,Semi,271.43,,,1.099971,,,-0.002096,0.0078812318158977,-0.002096,1,0
2022-07-27,2371,China,Semi,263.99,,,1.429872,,,-0.02741,-0.0049439294034848,-0.02741,1,0
2022-07-28,2371,China,Semi,269.26,,,1.401028,,,0.019963,0.0001507565817746,0.019963,1,0
2022-07-29,2371,China,Semi,253.58,,,2.295529,,,-0.058234,-0.0132380421214567,-0.058234,1,0
2022-08-01,2371,China,Semi,256.46,,,1.940645,,,0.011357,0.0044446750796027,0.011357,1,0
2022-08-02,2371,China,Semi,270.01,,,3.168854,,,0.052835,-0.0196864923839493,0.052835,1,0
2022-08-03,2371,China,Semi,285.45,,,3.582693,,,0.057183,-0.0097991987698004,0.057183,1,0
2022-08-04,2371,China,Semi,288.6,,,2.207938,,,0.011035,0.0084623016407567,0.011035,1,0
2022-08-05,2371,China,Semi,317.46,,,3.19048,,,0.1,0.0134104688610516,0.1,1,0
2022-08-08,2371,China,Semi,324.88,,,3.40709,,,0.023373,-0.0021278791641602,0.023373,1,0
2022-08-09,2371,China,Semi,325.88,,,2.851801,,,0.003078,0.0019787188283114,0.003078,1,0
2022-08-10,2371,China,Semi,331.5,,,2.729925,,,0.017246,-0.0112640538419871,0.017246,1,0
2022-08-11,2371,China,Semi,333.58,,,1.705195,,,0.006275,0.0201869251611875,0.006275,1,0
2022-08-12,2371,China,Semi,326.1,,,1.353602,,,-0.022423,-0.0005703248752184,-0.022423,1,0
2022-08-15,2371,China,Semi,327.4,,,1.226596,,,0.003987,-0.0013066995809622,0.003987,1,0
2022-08-16,2371,China,Semi,313.88,,,2.3776,,,-0.041295,-0.0018752884069731,-0.041295,1,0
2022-08-17,2371,China,Semi,315.08,,,1.706682,,,0.003823,0.0093206036745089,0.003823,1,0
2022-08-18,2371,China,Semi,315.63,,,1.21359,,,0.001746,-0.0087790824701014,0.001746,1,0
2022-08-19,2371,China,Semi,306.62,,,1.294669,,,-0.028546,-0.0069680737538466,-0.028546,1,0
2022-08-22,2371,China,Semi,308.49,,,0.928328,,,0.006099,0.0072783052854496,0.006099,1,0
2022-08-23,2371,China,Semi,299.78,,,1.264929,,,-0.028234,-0.0048702646192054,-0.028234,1,0
2022-08-24,2371,China,Semi,287.83,,,1.308064,,,-0.039863,-0.0190851867732802,-0.039863,1,0
2022-08-25,2371,China,Semi,288.08,,,0.941887,,,0.000869,0.0082501754752007,0.000869,1,0
2022-08-26,2371,China,Semi,282.54,,,0.988766,,,-0.019231,-0.0021143554170489,-0.019231,1,0
2022-08-29,2371,China,Semi,284.28,,,1.463098,,,0.006158,-0.0043979216109512,0.006158,1,0
2022-08-30,2371,China,Semi,287.51,,,1.175529,,,0.011362,-0.0033622739433434,0.011362,1,0
2022-08-31,2371,China,Semi,282.0,,,1.201126,,,-0.019165,0.0007470599273159,-0.019165,1,0
2022-09-01,2371,China,Semi,280.85,,,1.272588,,,-0.004078,-0.0086426279538412,-0.004078,1,0
2022-09-02,2371,China,Semi,285.55,,,1.242344,,,0.016735,-0.0049897511016337,0.016735,1,0
2022-09-05,2371,China,Semi,290.01,,,1.502052,,,0.015619,-0.002036811322941,0.015619,1,0
2022-09-06,2371,China,Semi,290.0,,,1.123963,,,-3.4e-05,0.009136241789855,-3.4e-05,1,0
2022-09-07,2371,China,Semi,315.0,,,2.05995,,,0.086207,0.0006668095262616,0.086207,1,0
2022-09-08,2371,China,Semi,313.03,,,1.236379,,,-0.006254,-0.0042752349376846,-0.006254,1,0
2022-09-09,2371,China,Semi,312.5,,,0.888052,,,-0.001693,0.0137991982627333,-0.001693,1,0
2022-09-13,2371,China,Semi,314.03,,,0.714389,,,0.004896,0.0042238227249835,0.004896,1,0
2022-09-14,2371,China,Semi,326.41,,,1.408461,,,0.039423,-0.0111922272701104,0.039423,1,0
2022-09-15,2371,China,Semi,311.0,,,1.673051,,,-0.047211,-0.009450822016788,-0.047211,1,0
2022-09-16,2371,China,Semi,315.76,,,1.329115,,,0.015305,-0.0237293418161428,0.015305,1,0
2022-09-19,2371,China,Semi,316.0,,,1.309821,,,0.00076,-0.0011914996582425,0.00076,1,0
2022-09-20,2371,China,Semi,310.35,,,1.137224,,,-0.01788,0.0012304036390274,-0.01788,1,0
2022-09-21,2371,China,Semi,297.22,,,1.17197,,,-0.042307,-0.0074270069826516,-0.042307,1,0
2022-09-22,2371,China,Semi,295.88,,,0.873351,,,-0.004508,-0.0088488035191141,-0.004508,1,0
2022-09-23,2371,China,Semi,285.0,,,1.074691,,,-0.036772,-0.0034491608379202,-0.036772,1,0
2022-09-26,2371,China,Semi,291.05,,,0.989426,,,0.021228,-0.005029195419341,0.021228,1,0
2022-09-27,2371,China,Semi,294.98,,,0.946782,,,0.013503,0.0143923305847815,0.013503,1,0
2022-09-28,2371,China,Semi,285.22,,,0.654929,,,-0.033087,-0.0164710261206409,-0.033087,1,0
2022-09-29,2371,China,Semi,291.78,,,0.983124,,,0.023,-0.0004093600077959,0.023,1,0
2022-09-30,2371,China,Semi,278.4,,,0.894047,,,-0.045856,-0.0058328043619269,-0.045856,1,0
2022-10-10,2371,China,Semi,250.56,,,0.888287,,,-0.1,-0.0223102491780268,-0.1,1,0
2022-10-11,2371,China,Semi,225.5,,,2.446229,,,-0.100016,0.0018124157824932,-0.100016,1,0
2022-10-12,2371,China,Semi,232.0,,,3.368634,,,0.028825,0.0150745806565951,0.028825,1,0
2022-10-13,2371,China,Semi,221.8,,,2.504696,,,-0.043966,-0.0083941286666432,-0.043966,1,0
2022-10-14,2371,China,Semi,224.88,,,3.138403,,,0.013886,0.0236470029220339,0.013886,1,0
2022-10-17,2371,China,Semi,243.0,,,3.487228,,,0.080576,0.0010253767310732,0.080576,1,0
2022-10-18,2371,China,Semi,238.9,,,2.014269,,,-0.016872,-0.0021198030652958,-0.016872,1,0
2022-10-19,2371,China,Semi,241.0,,,1.567974,,,0.00879,-0.0162143048728809,0.00879,1,0
2022-10-20,2371,China,Semi,265.1,,,2.274553,,,0.1,-0.0057378134945342,0.1,1,0
2022-10-21,2371,China,Semi,262.62,,,2.245434,,,-0.009355,-0.0032100024629317,-0.009355,1,0
2022-10-24,2371,China,Semi,265.9,,,1.89483,,,0.01249,-0.0296974238799339,0.01249,1,0
2022-10-25,2371,China,Semi,261.69,,,1.505676,,,-0.015833,-0.0016303931525011,-0.015833,1,0
2022-10-26,2371,China,Semi,261.8,,,1.709654,,,0.00042,0.0080855895557667,0.00042,1,0
2022-10-27,2371,China,Semi,262.95,,,1.800966,,,0.004393,-0.0070685888044839,0.004393,1,0
2022-10-28,2371,China,Semi,265.9,,,1.794474,,,0.011219,-0.0250456627369028,0.011219,1,0
2022-10-31,2371,China,Semi,265.7,,,1.668819,,,-0.000752,-0.009255909279944,-0.000752,1,0
2022-11-01,2371,China,Semi,264.92,,,1.471097,,,-0.002936,0.0351351212641948,-0.002936,1,0
2022-11-02,2371,China,Semi,261.65,,,1.560305,,,-0.012343,0.0119345320473773,-0.012343,1,0
2022-11-03,2371,China,Semi,267.5,,,1.625529,,,0.022358,-0.0081652696677364,0.022358,1,0
2022-11-04,2371,China,Semi,272.6,,,1.947898,,,0.019065,0.0321745465323323,0.019065,1,0
2022-11-07,2371,China,Semi,263.65,,,1.688921,,,-0.032832,0.0021536714062327,-0.032832,1,0
2022-11-08,2371,China,Semi,258.46,,,1.323883,,,-0.019685,-0.006903231322547,-0.019685,1,0
2022-11-09,2371,China,Semi,249.6,,,1.809867,,,-0.03428,-0.0093936655923869,-0.03428,1,0
2022-11-10,2371,China,Semi,235.0,,,3.105052,,,-0.058494,-0.0077246758043791,-0.058494,1,0
